rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
151,frame_0171.jpg,68.4,0.4621,0.5081,0.4,0.44,6,4,False,False
152,frame_0321.jpg,128.4,0.4606,0.6012,0.4,0.2,7,4,False,False
153,frame_0025.jpg,10.0,0.4562,0.4525,0.1,1.0,3,1,False,False
154,frame_0115.jpg,46.0,0.4546,0.6013,0.3,0.32,6,3,False,False
155,frame_0219.jpg,87.6,0.451,0.6539,0.2,0.32,4,2,False,False
156,frame_0214.jpg,85.6,0.4501,0.5721,0.2,0.52,4,2,False,False
157,frame_0374.jpg,149.6,0.4495,0.6389,0.3,0.2,10,3,False,False
158,frame_0222.jpg,88.8,0.4479,0.5758,0.4,0.2,6,4,False,False
159,frame_0386.jpg,154.4,0.4477,0.5594,0.4,0.24,7,4,False,False
160,frame_0105.jpg,42.0,0.4468,0.6817,0.3,0.08,9,3,False,False
161,frame_0327.jpg,130.8,0.4464,0.6968,0.3,0.04,12,3,False,False
162,frame_0325.jpg,130.0,0.446,0.696,0.3,0.04,8,3,False,False
163,frame_0267.jpg,106.8,0.4454,0.6027,0.4,0.12,5,4,False,False
164,frame_0233.jpg,93.2,0.4439,0.5518,0.4,0.24,6,4,False,False
165,frame_0019.jpg,7.6,0.443,0.4259,0.1,1.0,2,1,False,False
166,frame_0213.jpg,85.2,0.443,0.4821,0.3,0.56,4,3,False,False
167,frame_0117.jpg,46.8,0.4383,0.5367,0.3,0.4,7,3,False,False
168,frame_0184.jpg,73.6,0.4371,0.6622,0.3,0.08,8,3,False,False
169,frame_0170.jpg,68.0,0.4363,0.5606,0.2,0.48,6,2,False,False
170,frame_0087.jpg,34.8,0.4361,0.5602,0.2,0.48,5,2,False,False
171,frame_0010.jpg,4.0,0.4359,0.4117,0.1,1.0,3,1,False,False
172,frame_0114.jpg,45.6,0.4352,0.6384,0.2,0.28,7,2,False,False
173,frame_0289.jpg,115.6,0.435,0.4459,0.2,0.76,7,2,False,False
174,frame_0315.jpg,126.0,0.4342,0.5804,0.4,0.12,7,4,False,False
175,frame_0100.jpg,40.0,0.4302,0.6044,0.4,0.04,7,4,False,False
